Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
0.298736,0.0957237,-0.952615,-0.101967,0.307295,-2.94531
0.296178,0.0950809,-0.95178,-0.101961,0.307283,-2.9453
0.294216,0.0942754,-0.950694,-0.101964,0.307283,-2.9453
0.29632,0.0916108,-0.951432,-0.10197,0.307304,-2.9453
0.299301,0.0956944,-0.948699,-0.101992,0.307337,-2.9453
0.299534,0.0928638,-0.944263,-0.102004,0.307362,-2.94531
0.299092,0.0942068,-0.945156,-0.102023,0.30737,-2.94531
0.300343,0.0940949,-0.943898,-0.102035,0.307368,-2.94532
0.301666,0.0965121,-0.944891,-0.102034,0.307358,-2.94531
0.298632,0.0950281,-0.948293,-0.102026,0.30734,-2.94531
0.299299,0.0950759,-0.949677,-0.102008,0.307328,-2.9453
0.297186,0.093309,-0.950739,-0.101983,0.307319,-2.94529
0.295999,0.0935439,-0.949412,-0.101968,0.307324,-2.94529
0.298645,0.0918513,-0.950408,-0.101953,0.307336,-2.94529
0.296279,0.0913126,-0.949039,-0.101955,0.307345,-2.94528
0.29675,0.0935411,-0.947926,-0.101966,0.307364,-2.94529
0.298392,0.0922825,-0.947176,-0.101981,0.307379,-2.9453
0.300251,0.0949686,-0.945731,-0.101997,0.307387,-2.9453
0.297516,0.0971197,-0.94946,-0.102012,0.307384,-2.9453
0.296879,0.0965789,-0.94632,-0.102019,0.307378,-2.9453
0.297456,0.0939273,-0.947888,-0.102017,0.307375,-2.94531
0.29944,0.0948198,-0.947693,-0.102004,0.307376,-2.9453
0.297573,0.0951783,-0.949709,-0.101992,0.307375,-2.94529
0.296928,0.0934463,-0.947748,-0.101975,0.307377,-2.94529
0.296421,0.093541,-0.949195,-0.101967,0.307383,-2.94529
0.296484,0.0918659,-0.94805,-0.101961,0.307389,-2.94529
0.296327,0.0920347,-0.949204,-0.101956,0.307393,-2.94529
0.296595,0.092366,-0.947315,-0.101965,0.307388,-2.94529
0.29618,0.0921068,-0.946953,-0.101965,0.307377,-2.94529
0.29607,0.0951105,-0.948501,-0.101973,0.307373,-2.9453
0.296383,0.0963529,-0.949984,-0.101983,0.307367,-2.9453
0.295519,0.0957555,-0.949435,-0.101993,0.307367,-2.94531
0.297593,0.0951761,-0.948376,-0.101996,0.307371,-2.94531
0.297105,0.0965564,-0.951212,-0.101997,0.307371,-2.94531
0.296236,0.0948917,-0.950032,-0.101986,0.307377,-2.9453
0.294377,0.0928636,-0.949471,-0.101974,0.307379,-2.94529
0.294998,0.0947731,-0.947092,-0.101968,0.307381,-2.94529
0.297868,0.0913065,-0.948644,-0.101968,0.307388,-2.94529
0.296215,0.0928599,-0.948421,-0.101969,0.307386,-2.9453
0.298123,0.0944202,-0.947046,-0.101976,0.307385,-2.94529
0.295846,0.0968573,-0.950171,-0.101985,0.307375,-2.9453
0.295382,0.0942115,-0.948495,-0.101998,0.307375,-2.94531
0.295887,0.0960036,-0.947491,-0.101999,0.307374,-2.94532
0.293373,0.0928593,-0.946668,-0.10201,0.307371,-2.94532
0.294119,0.0936898,-0.947984,-0.102017,0.307368,-2.94532
