Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
0.00348123,-0.0293163,-0.993073,0.026799,0.00454546,-1.73671
0.00392479,-0.0289923,-0.995608,0.026799,0.00454546,-1.73671
0.00380159,-0.0287551,-0.999052,0.026799,0.00454546,-1.73671
0.00422121,-0.02912,-1.0023,0.0267803,0.00458169,-1.73671
0.00445361,-0.0292637,-1.00406,0.0267803,0.00458169,-1.73671
0.00524277,-0.02916,-1.00457,0.0267803,0.00458169,-1.73671
0.00568791,-0.0288408,-1.00326,0.0267803,0.00458169,-1.73671
0.00533235,-0.0290453,-1.00034,0.0267803,0.00458169,-1.73671
0.0049757,-0.0295615,-0.99732,0.0268462,0.00449108,-1.73672
0.00462947,-0.0297662,-0.994326,0.0268462,0.00449108,-1.73672
0.00431895,-0.030097,-0.992656,0.0268462,0.00449108,-1.73672
0.00417018,-0.0298965,-0.992388,0.0268462,0.00449108,-1.73672
0.00402724,-0.03009,-0.993684,0.0268462,0.00449108,-1.73672
0.00387862,-0.0304003,-0.99637,0.026736,0.00457805,-1.7367
0.00419754,-0.0303144,-0.998971,0.026736,0.00457805,-1.7367
0.00467245,-0.0297312,-1.00117,0.026736,0.00457805,-1.7367
0.00505406,-0.029363,-1.00247,0.026736,0.00457805,-1.7367
0.00498789,-0.0291083,-1.00265,0.026736,0.00457805,-1.7367
0.00489163,-0.0283284,-1.00134,0.0267727,0.00450206,-1.73667
0.0043857,-0.0281923,-0.999937,0.0267727,0.00450206,-1.73667
0.00421398,-0.0282066,-0.997839,0.0267727,0.00450206,-1.73667
0.0040706,-0.0277297,-0.995745,0.0267727,0.00450206,-1.73667
0.00379857,-0.0282062,-0.994135,0.0267727,0.00450206,-1.73667
0.00336678,-0.0278678,-0.993284,0.0267993,0.00454958,-1.73663
0.00353961,-0.0276119,-0.993285,0.0267993,0.00454958,-1.73663
0.00381264,-0.027501,-0.995153,0.0267993,0.00454958,-1.73663
0.00396167,-0.0273565,-0.997209,0.0267993,0.00454958,-1.73663
0.00429963,-0.02717,-0.999135,0.0267993,0.00454958,-1.73663
0.00474766,-0.0268431,-1.00031,0.0267666,0.0046167,-1.73664
0.00487417,-0.0268751,-1.00106,0.0267666,0.0046167,-1.73664
0.00516724,-0.0272866,-1.00135,0.0267666,0.0046167,-1.73664
0.00504871,-0.0275858,-1.00098,0.0267666,0.0046167,-1.73664
0.0047706,-0.027694,-0.999447,0.0267666,0.0046167,-1.73664
0.00451008,-0.0282795,-0.997558,0.0267726,0.00458878,-1.73662
0.00434792,-0.0281628,-0.99546,0.0267726,0.00458878,-1.73662
0.00394177,-0.028285,-0.994295,0.0267726,0.00458878,-1.73662
0.0033698,-0.028393,-0.993931,0.0267726,0.00458878,-1.73662
0.00379152,-0.027785,-0.993736,0.0267726,0.00458878,-1.73662
0.00350814,-0.0272324,-0.994479,0.0267806,0.00464442,-1.73668
0.00329967,-0.0277501,-0.996172,0.0267806,0.00464442,-1.73668
0.00282702,-0.0275379,-0.997458,0.0267806,0.00464442,-1.73668
0.00322564,-0.0274771,-0.999059,0.0267806,0.00464442,-1.73668
0.00357881,-0.027849,-1.00078,0.0267806,0.00464442,-1.73668
0.0043314,-0.0278581,-1.00152,0.0267626,0.00464191,-1.73664
0.00469384,-0.0281647,-1.00158,0.0267626,0.00464191,-1.73664
0.00437292,-0.0282747,-1.00074,0.0267626,0.00464191,-1.73664
0.00432998,-0.0274862,-0.99858,0.0267626,0.00464191,-1.73664
0.00471728,-0.0270217,-0.996309,0.0267626,0.00464191,-1.73664
0.0045803,-0.0277362,-0.995353,0.0267878,0.00461057,-1.7366
0.00399068,-0.0282517,-0.99432,0.0267878,0.00461057,-1.7366
0.00404877,-0.0285173,-0.993026,0.0267878,0.00461057,-1.7366
0.00378795,-0.0285032,-0.993087,0.0267878,0.00461057,-1.7366
0.00356293,-0.0287709,-0.994391,0.0267878,0.00461057,-1.7366
0.00373522,-0.0293793,-0.997218,0.0266937,0.00471124,-1.73659
0.00408321,-0.030546,-1.0005,0.0266937,0.00471124,-1.73659
0.00469443,-0.030141,-1.00276,0.0266937,0.00471124,-1.73659
0.00525563,-0.0293985,-1.00361,0.0266937,0.00471124,-1.73659
0.00562144,-0.0286794,-1.00395,0.0266937,0.00471124,-1.73659
0.00522904,-0.0281994,-1.00327,0.0266977,0.00463797,-1.73662
0.00453568,-0.0280376,-1.00137,0.0266977,0.00463797,-1.73662
0.00432794,-0.0278712,-0.998528,0.0266977,0.00463797,-1.73662
0.00361995,-0.0274659,-0.995569,0.0266977,0.00463797,-1.73662
0.00300316,-0.0271877,-0.992941,0.0266977,0.00463797,-1.73662
0.00283946,-0.0275773,-0.991768,0.0266785,0.0045945,-1.73663
0.00278886,-0.0276998,-0.991842,0.0266785,0.0045945,-1.73663
0.00283508,-0.0279829,-0.99293,0.0266785,0.0045945,-1.73663
0.00347319,-0.0279574,-0.994832,0.0266785,0.0045945,-1.73663
0.00417808,-0.0282129,-0.998069,0.0266785,0.0045945,-1.73663
0.00483277,-0.028207,-1.00044,0.0265986,0.00465858,-1.73665
0.00535191,-0.0281765,-1.00215,0.0265986,0.00465858,-1.73665
0.00533954,-0.0281195,-1.00299,0.0265986,0.00465858,-1.73665
0.00518068,-0.0280876,-1.00221,0.0265986,0.00465858,-1.73665
0.00499356,-0.0284289,-1.001,0.0265986,0.00465858,-1.73665
0.00448543,-0.0285021,-0.99908,0.0266607,0.00454567,-1.73666
0.0043659,-0.0284933,-0.996786,0.0266607,0.00454567,-1.73666
0.00420096,-0.0284982,-0.994812,0.0266607,0.00454567,-1.73666
0.00389321,-0.0286309,-0.994125,0.0266607,0.00454567,-1.73666
0.0041303,-0.0287198,-0.993992,0.0266607,0.00454567,-1.73666
0.00439915,-0.0286134,-0.994529,0.026636,0.004592,-1.73665
0.00439747,-0.028465,-0.996319,0.026636,0.004592,-1.73665
0.00447553,-0.0278594,-0.997906,0.026636,0.004592,-1.73665
0.00449697,-0.0277808,-0.999203,0.026636,0.004592,-1.73665
0.00453253,-0.0276897,-1.00014,0.026636,0.004592,-1.73665
0.00443363,-0.0274516,-1.00034,0.0266574,0.00455939,-1.73666
0.00387519,-0.0271683,-0.999775,0.0266574,0.00455939,-1.73666
0.00357255,-0.0274798,-0.999231,0.0266574,0.00455939,-1.73666
0.00327965,-0.0276414,-0.998084,0.0266574,0.00455939,-1.73666
0.00321219,-0.027832,-0.997099,0.0266574,0.00455939,-1.73666
0.00331667,-0.0281396,-0.996465,0.0265851,0.00455635,-1.73667
0.00344324,-0.0279438,-0.996252,0.0265851,0.00455635,-1.73667
0.00349216,-0.0276966,-0.996381,0.0265851,0.00455635,-1.73667
0.00388899,-0.0279164,-0.996893,0.0265851,0.00455635,-1.73667
0.00414925,-0.0278787,-0.997965,0.0265851,0.00455635,-1.73667
0.00427641,-0.0276396,-0.998836,0.0265279,0.00464282,-1.73671
